timestamp,temperature,target_temperature,pwm_output
1740536775.318,2047.750,50.000,0
1740536776.318,2047.750,50.000,0
1740536777.318,2047.750,50.000,0
1740536778.318,2047.750,50.000,0
1740536779.318,2047.750,50.000,0
1740536780.318,2047.750,50.000,0
1740536781.318,2047.750,50.000,0
1740536782.318,2047.750,50.000,0
1740536783.318,2047.750,50.000,0
1740536784.318,2047.750,50.000,0
1740536785.318,2047.750,50.000,0
1740536786.318,2047.750,50.000,0
1740536787.318,2047.750,50.000,0
1740536788.318,2047.750,50.000,0
1740536789.318,2047.750,50.000,0
1740536790.319,2047.750,50.000,0
1740536791.319,2047.750,50.000,0
1740536792.319,2047.750,50.000,0
1740536793.319,2047.750,50.000,0
1740536794.319,2047.750,50.000,0
1740536795.319,2047.750,50.000,0
1740536796.319,2047.750,50.000,0
1740536797.319,2047.750,50.000,0
1740536798.319,2047.750,50.000,0
1740536799.319,2047.750,50.000,0
1740536800.319,2047.750,50.000,0
1740536801.319,2047.750,50.000,0
1740536802.319,2047.750,50.000,0
1740536803.319,2047.750,50.000,0
1740536804.319,2047.750,50.000,0
1740536805.319,2047.750,50.000,0
1740536806.319,2047.750,50.000,0
1740536807.319,2047.750,50.000,0
1740536808.319,2047.750,50.000,0
1740536809.319,2047.750,50.000,0
1740536810.319,2047.750,50.000,0
1740536811.319,2047.750,50.000,0
1740536812.319,2047.750,50.000,0
1740536813.319,2047.750,50.000,0
1740536814.319,2047.750,50.000,0
1740536815.319,2047.750,50.000,0
1740536816.319,2047.750,50.000,0
1740536817.319,2047.750,50.000,0
1740536818.320,2047.750,50.000,0
1740536819.320,2047.750,50.000,0
1740536820.320,2047.750,50.000,0
1740536821.320,2047.750,50.000,0
1740536822.320,2047.750,50.000,0
1740536823.320,2047.750,50.000,0
1740536824.320,2047.750,50.000,0
1740536825.320,2047.750,50.000,0
1740536826.320,2047.750,50.000,0
1740536827.320,2047.750,50.000,0
1740536828.320,2047.750,50.000,0
1740536829.320,2047.750,50.000,0
1740536830.320,2047.750,50.000,0
1740536831.320,2047.750,50.000,0
1740536832.320,2047.750,50.000,0
1740536833.320,2047.750,50.000,0
1740536834.320,2047.750,50.000,0
1740536835.320,2047.750,50.000,0
1740536836.320,2047.750,50.000,0
1740536837.320,2047.750,50.000,0
1740536838.320,2047.750,50.000,0
1740536839.320,2047.750,50.000,0
1740536840.320,2047.750,50.000,0
1740536841.320,2047.750,50.000,0
1740536842.320,2047.750,50.000,0
1740536843.320,2047.750,50.000,0
1740536844.320,2047.750,50.000,0
1740536845.320,2047.750,50.000,0
1740536846.320,2047.750,50.000,0
1740536847.320,2047.750,50.000,0
1740536848.321,2047.750,50.000,0
1740536849.321,2047.750,50.000,0
1740536850.321,2047.750,50.000,0
1740536851.321,2047.750,50.000,0
1740536852.321,2047.750,50.000,0
1740536853.321,2047.750,50.000,0
1740536854.321,2047.750,50.000,0
1740536855.321,2047.750,50.000,0
1740536856.321,2047.750,50.000,0
1740536857.321,2047.750,50.000,0
1740536858.321,2047.750,50.000,0
1740536859.321,2047.750,50.000,0
1740536860.321,2047.750,50.000,0
1740536861.321,2047.750,50.000,0
1740536862.321,2047.750,50.000,0
1740536863.321,2047.750,50.000,0
1740536864.321,2047.750,50.000,0
1740536865.321,2047.750,50.000,0
1740536866.321,2047.750,50.000,0
1740536867.321,2047.750,50.000,0
1740536868.321,2047.750,50.000,0
1740536869.321,2047.750,50.000,0
1740536870.321,2047.750,50.000,0
1740536871.321,2047.750,50.000,0
1740536872.321,2047.750,50.000,0
1740536873.321,2047.750,50.000,0
1740536874.321,2047.750,50.000,0
1740536875.321,2047.750,50.000,0
1740536876.321,2047.750,50.000,0
1740536877.321,2047.750,50.000,0
1740536878.321,2047.750,50.000,0
1740536879.321,2047.750,50.000,0
1740536880.322,2047.750,50.000,0
1740536881.322,2047.750,50.000,0
1740536882.322,2047.750,50.000,0
1740536883.322,2047.750,50.000,0
1740536884.322,2047.750,50.000,0
1740536885.322,2047.750,50.000,0
1740536886.322,2047.750,50.000,0
1740536887.322,2047.750,50.000,0
1740536888.322,2047.750,50.000,0
1740536889.322,2047.750,50.000,0
1740536890.322,2047.750,50.000,0
1740536891.322,2047.750,50.000,0
1740536892.322,2047.750,50.000,0
1740536893.322,2047.750,50.000,0
1740536894.322,2047.750,50.000,0
1740536895.322,2047.750,50.000,0
1740536896.322,2047.750,50.000,0
1740536897.322,2047.750,50.000,0
1740536898.322,2047.750,50.000,0
1740536899.322,2047.750,50.000,0
1740536900.322,2047.750,50.000,0
1740536901.322,2047.750,50.000,0
1740536902.322,2047.750,50.000,0
1740536903.322,2047.750,50.000,0
1740536904.322,2047.750,50.000,0
1740536905.322,2047.750,50.000,0
1740536906.322,2047.750,50.000,0
1740536907.322,2047.750,50.000,0
1740536908.323,2047.750,50.000,0
1740536909.323,2047.750,50.000,0
1740536910.323,2047.750,50.000,0
1740536911.323,2047.750,50.000,0
1740536912.323,2047.750,50.000,0
1740536913.323,2047.750,50.000,0
1740536914.323,2047.750,50.000,0
1740536915.323,2047.750,50.000,0
1740536916.323,2047.750,50.000,0
1740536917.323,2047.750,50.000,0
1740536918.323,2047.750,50.000,0
1740536919.323,2047.750,50.000,0
1740536920.323,2047.750,50.000,0
1740536921.323,2047.750,50.000,0
1740536922.323,2047.750,50.000,0
1740536923.323,2047.750,50.000,0
1740536924.323,2047.750,50.000,0
1740536925.323,2047.750,50.000,0
1740536926.323,2047.750,50.000,0
1740536927.323,2047.750,50.000,0
1740536928.323,2047.750,50.000,0
1740536929.323,2047.750,50.000,0
1740536930.323,2047.750,50.000,0
1740536931.323,2047.750,50.000,0
1740536932.323,2047.750,50.000,0
1740536933.323,2047.750,50.000,0
1740536934.323,2047.750,50.000,0
1740536935.323,2047.750,50.000,0
1740536936.323,2047.750,50.000,0
1740536937.324,2047.750,50.000,0
