timestamp,temperature,target_temperature,pwm_output
1740533705.899,2047.750,50.000,0
1740533706.899,2047.750,50.000,0
1740533707.899,2047.750,50.000,0
1740533708.899,2047.750,50.000,0
1740533709.899,2047.750,50.000,0
1740533710.899,2047.750,50.000,0
1740533711.899,2047.750,50.000,0
1740533712.899,2047.750,50.000,0
1740533713.899,2047.750,50.000,0
1740533714.899,2047.750,50.000,0
1740533715.899,2047.750,50.000,0
1740533716.899,2047.750,50.000,0
1740533717.899,2047.750,50.000,0
1740533718.900,2047.750,50.000,0
1740533719.900,2047.750,50.000,0
1740533720.900,2047.750,50.000,0
1740533721.900,2047.750,50.000,0
1740533722.900,2047.750,50.000,0
1740533723.900,2047.750,50.000,0
1740533724.900,2047.750,50.000,0
1740533725.900,2047.750,50.000,0
1740533726.900,2047.750,50.000,0
1740533727.900,2047.750,50.000,0
1740533728.900,2047.750,50.000,0
1740533729.900,2047.750,50.000,0
1740533730.900,2047.750,50.000,0
1740533731.900,2047.750,50.000,0
1740533732.900,2047.750,50.000,0
1740533733.900,2047.750,50.000,0
1740533734.900,2047.750,50.000,0
1740533735.900,2047.750,50.000,0
1740533736.900,2047.750,50.000,0
1740533737.900,2047.750,50.000,0
1740533738.900,2047.750,50.000,0
1740533739.900,2047.750,50.000,0
1740533740.900,2047.750,50.000,0
1740533741.900,2047.750,50.000,0
1740533742.900,2047.750,50.000,0
1740533743.900,2047.750,50.000,0
1740533744.900,2047.750,50.000,0
1740533745.900,2047.750,50.000,0
1740533746.900,2047.750,50.000,0
1740533747.900,2047.750,50.000,0
1740533748.901,2047.750,50.000,0
1740533749.901,2047.750,50.000,0
1740533750.901,2047.750,50.000,0
1740533751.901,2047.750,50.000,0
1740533752.901,2047.750,50.000,0
1740533753.901,2047.750,50.000,0
1740533754.901,2047.750,50.000,0
1740533755.901,2047.750,50.000,0
1740533756.901,2047.750,50.000,0
1740533757.901,2047.750,50.000,0
1740533758.901,2047.750,50.000,0
1740533759.901,2047.750,50.000,0
1740533760.901,2047.750,50.000,0
1740533761.901,2047.750,50.000,0
1740533762.901,2047.750,50.000,0
1740533763.901,2047.750,50.000,0
1740533764.901,2047.750,50.000,0
1740533765.901,2047.750,50.000,0
1740533766.901,2047.750,50.000,0
1740533767.901,2047.750,50.000,0
1740533768.901,2047.750,50.000,0
1740533769.901,2047.750,50.000,0
1740533770.901,2047.750,50.000,0
1740533771.901,2047.750,50.000,0
1740533772.901,2047.750,50.000,0
1740533773.901,2047.750,50.000,0
1740533774.901,2047.750,50.000,0
